Mes, Día, Año de Fecha Operativa;Hora HH;Cat Cobrada;ID Peaje;Observacion;Sentido;Tipo Cobro;Pasos
1/4/2024;0;Auto;ALB;Mercado Pago;Centro;Mercado Pago;12
1/4/2024;0;Auto;ALB;Mercado Pago;Provincia;Mercado Pago;21
1/4/2024;0;Auto;ALB;Mercado Pago OCR;Centro;Mercado Pago;8
1/4/2024;0;Auto;ALB;Mercado Pago OCR;Provincia;Mercado Pago;5
1/4/2024;0;Auto;ALB;Tag - PosPago;Centro;Tag;52
1/4/2024;0;Auto;ALB;Tag - PosPago;Provincia;Tag;151
1/4/2024;0;Auto;ALB;Tag - PosPago OCR;Centro;Tag;24
1/4/2024;0;Auto;ALB;Tag - PosPago OCR;Provincia;Tag;39
1/4/2024;0;Auto;ALB;Violación - Normal;Centro;Violación;21
1/4/2024;0;Auto;ALB;Violación - Normal;Provincia;Violación;17
1/4/2024;0;Auto;AVE;Efectivo;Centro;Efectivo;98
1/4/2024;0;Auto;AVE;Efectivo;Provincia;Efectivo;203
1/4/2024;0;Auto;AVE;Exento - Otros motivos;Centro;Exento;54
1/4/2024;0;Auto;AVE;Exento - Otros motivos;Provincia;Exento;95
1/4/2024;0;Auto;AVE;Exento - Reglamento;Centro;Exento;2
1/4/2024;0;Auto;AVE;Exento - Reglamento;Provincia;Exento;2
1/4/2024;0;Auto;AVE;Mercado Pago;Centro;Mercado Pago;133
1/4/2024;0;Auto;AVE;Mercado Pago;Provincia;Mercado Pago;273
1/4/2024;0;Auto;AVE;Mercado Pago OCR;Centro;Mercado Pago;41
1/4/2024;0;Auto;AVE;Mercado Pago OCR;Provincia;Mercado Pago;25
1/4/2024;0;Auto;AVE;Paso en Infracción;Centro;Rec.Deuda;8
1/4/2024;0;Auto;AVE;Paso en Infracción;Provincia;Rec.Deuda;11
1/4/2024;0;Auto;AVE;Paso en infracción con Multa LPR;Centro;Rec.Deuda;3
1/4/2024;0;Auto;AVE;Paso en infracción con Multa LPR;Provincia;Rec.Deuda;1
1/4/2024;0;Auto;AVE;Tag - Exento;Centro;Tag;15
1/4/2024;0;Auto;AVE;Tag - Exento;Provincia;Tag;4
1/4/2024;0;Auto;AVE;Tag - PosPago;Centro;Tag;449
1/4/2024;0;Auto;AVE;Tag - PosPago;Provincia;Tag;874
1/4/2024;0;Auto;AVE;Tag - PosPago OCR;Centro;Tag;68
1/4/2024;0;Auto;AVE;Tag - PosPago OCR;Provincia;Tag;69
1/4/2024;0;Auto;AVE;Violación - Normal;Centro;Violación;1
1/4/2024;0;Auto;AVE;Violación - Normal;Provincia;Violación;9
1/4/2024;0;Auto;DEC;Efectivo;Centro;Efectivo;111
1/4/2024;0;Auto;DEC;Exento - Otros motivos;Centro;Exento;51
1/4/2024;0;Auto;DEC;Mercado Pago;Centro;Mercado Pago;161
1/4/2024;0;Auto;DEC;Mercado Pago OCR;Centro;Mercado Pago;26
1/4/2024;0;Auto;DEC;Paso en Infracción;Centro;Rec.Deuda;6
1/4/2024;0;Auto;DEC;Tag - PosPago;Centro;Tag;410
1/4/2024;0;Auto;DEC;Tag - PosPago OCR;Centro;Tag;51
1/4/2024;0;Auto;DEC;Violación - Normal;Centro;Violación;2
1/4/2024;0;Auto;DEL;Efectivo;Provincia;Efectivo;118
1/4/2024;0;Auto;DEL;Exento - Otros motivos;Provincia;Exento;83
1/4/2024;0;Auto;DEL;Mercado Pago;Provincia;Mercado Pago;161
1/4/2024;0;Auto;DEL;Mercado Pago OCR;Provincia;Mercado Pago;40
1/4/2024;0;Auto;DEL;Paso en Infracción;Provincia;Rec.Deuda;3
1/4/2024;0;Auto;DEL;Tag - PosPago;Provincia;Tag;386
1/4/2024;0;Auto;DEL;Tag - PosPago OCR;Provincia;Tag;90
1/4/2024;0;Auto;DEL;Violación - Normal;Provincia;Violación;1
1/4/2024;0;Auto;KDT;Mercado Pago;Centro;Mercado Pago;181
1/4/2024;0;Auto;KDT;Mercado Pago;Provincia;Mercado Pago;218
1/4/2024;0;Auto;KDT;Mercado Pago OCR;Centro;Mercado Pago;21
1/4/2024;0;Auto;KDT;Mercado Pago OCR;Provincia;Mercado Pago;25
1/4/2024;0;Auto;KDT;Tag - PosPago;Centro;Tag;530
1/4/2024;0;Auto;KDT;Tag - PosPago;Provincia;Tag;945
1/4/2024;0;Auto;KDT;Tag - PosPago OCR;Centro;Tag;49
1/4/2024;0;Auto;KDT;Tag - PosPago OCR;Provincia;Tag;75
1/4/2024;0;Auto;KDT;Violación - Normal;Centro;Violación;108
1/4/2024;0;Auto;KDT;Violación - Normal;Provincia;Violación;139
1/4/2024;0;Auto;PB1;Mercado Pago;Provincia;Mercado Pago;27
1/4/2024;0;Auto;PB1;Mercado Pago OCR;Provincia;Mercado Pago;17
1/4/2024;0;Auto;PB1;Tag - PosPago;Provincia;Tag;247
1/4/2024;0;Auto;PB1;Tag - PosPago OCR;Provincia;Tag;68
1/4/2024;0;Auto;PB1;Violación - Normal;Provincia;Violación;22
1/4/2024;0;Auto;PB2;Mercado Pago;Centro;Mercado Pago;6
1/4/2024;0;Auto;PB2;Mercado Pago OCR;Centro;Mercado Pago;11
1/4/2024;0;Auto;PB2;Tag - PosPago;Centro;Tag;14
1/4/2024;0;Auto;PB2;Tag - PosPago OCR;Centro;Tag;6
1/4/2024;0;Auto;PB2;Violación - Normal;Centro;Violación;6
1/4/2024;0;Auto;PB3;Mercado Pago;Provincia;Mercado Pago;8
1/4/2024;0;Auto;PB3;Mercado Pago OCR;Provincia;Mercado Pago;1
1/4/2024;0;Auto;PB3;Tag - PosPago;Provincia;Tag;20
1/4/2024;0;Auto;PB3;Tag - PosPago OCR;Provincia;Tag;4
1/4/2024;0;Auto;PB3;Violación - Normal;Provincia;Violación;6
1/4/2024;0;Auto;PB4;Mercado Pago;Centro;Mercado Pago;18
1/4/2024;0;Auto;PB4;Mercado Pago OCR;Centro;Mercado Pago;7
1/4/2024;0;Auto;PB4;Tag - PosPago;Centro;Tag;93
1/4/2024;0;Auto;PB4;Tag - PosPago OCR;Centro;Tag;21
1/4/2024;0;Auto;PB4;Violación - Normal;Centro;Violación;23
1/4/2024;0;Auto;SAL;Mercado Pago;Provincia;Mercado Pago;15
1/4/2024;0;Auto;SAL;Mercado Pago OCR;Provincia;Mercado Pago;4
1/4/2024;0;Auto;SAL;Tag - PosPago;Provincia;Tag;43
1/4/2024;0;Auto;SAL;Tag - PosPago OCR;Provincia;Tag;9
1/4/2024;0;Auto;SAL;Violación - Normal;Provincia;Violación;7
1/4/2024;0;Auto;SAR;Mercado Pago;Provincia;Mercado Pago;12
1/4/2024;0;Auto;SAR;Mercado Pago OCR;Provincia;Mercado Pago;3
1/4/2024;0;Auto;SAR;Tag - PosPago;Provincia;Tag;42
1/4/2024;0;Auto;SAR;Tag - PosPago OCR;Provincia;Tag;5
1/4/2024;0;Auto;SAR;Violación - Normal;Provincia;Violación;9
1/4/2024;0;Auto con trailer;AVE;Efectivo;Provincia;Efectivo;1
1/4/2024;0;Auto con trailer;AVE;Tag - PosPago;Provincia;Tag;1
1/4/2024;0;Auto con trailer;DEC;Tag - PosPago;Centro;Tag;1
1/4/2024;0;Auto con trailer;KDT;Tag - PosPago;Centro;Tag;1
1/4/2024;0;Auto con trailer;KDT;Tag - PosPago;Provincia;Tag;1
1/4/2024;0;Auto con trailer;PB3;Violación - Normal;Provincia;Violación;1
1/4/2024;0;Moto;ALB;Mercado Pago;Centro;Mercado Pago;1
1/4/2024;0;Moto;ALB;Mercado Pago;Provincia;Mercado Pago;2
1/4/2024;0;Moto;AVE;Efectivo;Centro;Efectivo;3
1/4/2024;0;Moto;AVE;Efectivo;Provincia;Efectivo;13
1/4/2024;0;Moto;AVE;Mercado Pago;Centro;Mercado Pago;1
1/4/2024;0;Moto;AVE;Mercado Pago;Provincia;Mercado Pago;4
1/4/2024;0;Moto;AVE;Mercado Pago OCR;Provincia;Mercado Pago;2
1/4/2024;0;Moto;AVE;Tag - PosPago;Centro;Tag;4
1/4/2024;0;Moto;AVE;Tag - PosPago;Provincia;Tag;3
1/4/2024;0;Moto;AVE;Violación - Normal;Provincia;Violación;1
1/4/2024;0;Moto;DEC;Efectivo;Centro;Efectivo;4
1/4/2024;0;Moto;DEC;Tag - PosPago;Centro;Tag;1
1/4/2024;0;Moto;DEL;Efectivo;Provincia;Efectivo;11
1/4/2024;0;Moto;DEL;Mercado Pago;Provincia;Mercado Pago;5
1/4/2024;0;Moto;DEL;Mercado Pago OCR;Provincia;Mercado Pago;3
1/4/2024;0;Moto;DEL;Tag - PosPago;Provincia;Tag;2
1/4/2024;0;Moto;DEL;Tag - PosPago OCR;Provincia;Tag;1
1/4/2024;0;Moto;KDT;Mercado Pago;Centro;Mercado Pago;1
1/4/2024;0;Moto;KDT;Mercado Pago;Provincia;Mercado Pago;2
1/4/2024;0;Moto;KDT;Mercado Pago OCR;Provincia;Mercado Pago;2
1/4/2024;0;Moto;KDT;Tag - PosPago;Centro;Tag;4
1/4/2024;0;Moto;KDT;Tag - PosPago OCR;Centro;Tag;2
1/4/2024;0;Moto;KDT;Tag - PosPago OCR;Provincia;Tag;3
1/4/2024;0;Moto;KDT;Violación - Normal;Centro;Violación;1
1/4/2024;0;Moto;KDT;Violación - Normal;Provincia;Violación;3
1/4/2024;0;Moto;PB2;Violación - Normal;Centro;Violación;1
1/4/2024;0;N/D;ALB;Violación - Normal;Centro;Violación;43
1/4/2024;0;N/D;ALB;Violación - Normal;Provincia;Violación;63
1/4/2024;0;N/D;AVE;Exento - Reglamento;Provincia;Exento;1
1/4/2024;0;N/D;AVE;Violación - Normal;Centro;Violación;60
1/4/2024;0;N/D;AVE;Violación - Normal;Provincia;Violación;68
1/4/2024;0;N/D;DEC;Violación - Normal;Centro;Violación;59
1/4/2024;0;N/D;DEL;Exento - Reglamento;Provincia;Exento;1
1/4/2024;0;N/D;DEL;Violación - Normal;Provincia;Violación;45
1/4/2024;0;N/D;KDT;Violación - Normal;Centro;Violación;117
1/4/2024;0;N/D;KDT;Violación - Normal;Provincia;Violación;138
1/4/2024;0;N/D;PB1;Violación - Normal;Provincia;Violación;51
1/4/2024;0;N/D;PB2;Violación - Normal;Centro;Violación;15
1/4/2024;0;N/D;PB3;Violación - Normal;Provincia;Violación;15
1/4/2024;0;N/D;PB4;Violación - Normal;Centro;Violación;36
1/4/2024;0;N/D;SAL;Violación - Normal;Provincia;Violación;15
1/4/2024;0;N/D;SAR;Violación - Normal;Provincia;Violación;15
1/4/2024;0;Pesados 2 Ejes;ALB;Tag - PosPago;Provincia;Tag;1
1/4/2024;0;Pesados 2 Ejes;ALB;Tag - PosPago OCR;Centro;Tag;1
1/4/2024;0;Pesados 2 Ejes;ALB;Violación - Normal;Centro;Violación;1
1/4/2024;0;Pesados 2 Ejes;ALB;Violación - Normal;Provincia;Violación;1
1/4/2024;0;Pesados 2 Ejes;AVE;Efectivo;Centro;Efectivo;2
1/4/2024;0;Pesados 2 Ejes;AVE;Efectivo;Provincia;Efectivo;4
1/4/2024;0;Pesados 2 Ejes;AVE;Exento - Otros motivos;Provincia;Exento;1
1/4/2024;0;Pesados 2 Ejes;AVE;Exento - Reglamento;Centro;Exento;4
1/4/2024;0;Pesados 2 Ejes;AVE;Exento - Reglamento;Provincia;Exento;1
1/4/2024;0;Pesados 2 Ejes;AVE;Mercado Pago;Provincia;Mercado Pago;2
1/4/2024;0;Pesados 2 Ejes;AVE;Paso en infracción con Multa LPR;Centro;Rec.Deuda;1
1/4/2024;0;Pesados 2 Ejes;AVE;Tag - Exento;Centro;Tag;1
1/4/2024;0;Pesados 2 Ejes;AVE;Tag - PosPago;Centro;Tag;11
1/4/2024;0;Pesados 2 Ejes;AVE;Tag - PosPago;Provincia;Tag;11
1/4/2024;0;Pesados 2 Ejes;AVE;Tag - PosPago OCR;Provincia;Tag;1
1/4/2024;0;Pesados 2 Ejes;DEC;Efectivo;Centro;Efectivo;3
1/4/2024;0;Pesados 2 Ejes;DEC;Exento - Reglamento;Centro;Exento;1
1/4/2024;0;Pesados 2 Ejes;DEC;Mercado Pago;Centro;Mercado Pago;3
1/4/2024;0;Pesados 2 Ejes;DEC;Paso en Infracción;Centro;Rec.Deuda;2
1/4/2024;0;Pesados 2 Ejes;DEC;Tag - PosPago;Centro;Tag;16
1/4/2024;0;Pesados 2 Ejes;DEC;Tag - PosPago OCR;Centro;Tag;6
1/4/2024;0;Pesados 2 Ejes;DEL;Efectivo;Provincia;Efectivo;2
1/4/2024;0;Pesados 2 Ejes;DEL;Exento - Otros motivos;Provincia;Exento;1
1/4/2024;0;Pesados 2 Ejes;DEL;Exento - Reglamento;Provincia;Exento;2
1/4/2024;0;Pesados 2 Ejes;DEL;Mercado Pago;Provincia;Mercado Pago;2
1/4/2024;0;Pesados 2 Ejes;DEL;Mercado Pago OCR;Provincia;Mercado Pago;1
1/4/2024;0;Pesados 2 Ejes;DEL;Paso en Infracción;Provincia;Rec.Deuda;2
1/4/2024;0;Pesados 2 Ejes;DEL;Tag - PosPago;Provincia;Tag;12
1/4/2024;0;Pesados 2 Ejes;DEL;Tag - PosPago OCR;Provincia;Tag;1
1/4/2024;0;Pesados 2 Ejes;DEL;Violación - Normal;Provincia;Violación;1
1/4/2024;0;Pesados 2 Ejes;KDT;Mercado Pago;Centro;Mercado Pago;1
1/4/2024;0;Pesados 2 Ejes;KDT;Mercado Pago;Provincia;Mercado Pago;2
1/4/2024;0;Pesados 2 Ejes;KDT;Mercado Pago OCR;Centro;Mercado Pago;2
1/4/2024;0;Pesados 2 Ejes;KDT;Tag - PosPago;Centro;Tag;9
1/4/2024;0;Pesados 2 Ejes;KDT;Tag - PosPago;Provincia;Tag;13
1/4/2024;0;Pesados 2 Ejes;KDT;Tag - PosPago OCR;Centro;Tag;5
1/4/2024;0;Pesados 2 Ejes;KDT;Violación - Normal;Centro;Violación;3
1/4/2024;0;Pesados 2 Ejes;KDT;Violación - Normal;Provincia;Violación;1
1/4/2024;0;Pesados 2 Ejes;PB1;Mercado Pago;Provincia;Mercado Pago;1
1/4/2024;0;Pesados 2 Ejes;PB1;Tag - PosPago;Provincia;Tag;9
1/4/2024;0;Pesados 2 Ejes;PB1;Tag - PosPago OCR;Provincia;Tag;4
1/4/2024;0;Pesados 2 Ejes;PB2;Tag - PosPago;Centro;Tag;4
1/4/2024;0;Pesados 2 Ejes;PB4;Mercado Pago OCR;Centro;Mercado Pago;1
1/4/2024;0;Pesados 2 Ejes;PB4;Tag - PosPago;Centro;Tag;6
1/4/2024;0;Pesados 2 Ejes;PB4;Tag - PosPago OCR;Centro;Tag;1
1/4/2024;0;Pesados 2 Ejes;SAL;Tag - PosPago OCR;Provincia;Tag;1
1/4/2024;0;Pesados 2 Ejes;SAR;Tag - PosPago;Provincia;Tag;1
1/4/2024;0;Pesados 3 Ejes;ALB;Tag - PosPago;Centro;Tag;1
1/4/2024;0;Pesados 3 Ejes;AVE;Paso en Infracción;Centro;Rec.Deuda;1
1/4/2024;0;Pesados 3 Ejes;AVE;Tag - PosPago;Centro;Tag;4
1/4/2024;0;Pesados 3 Ejes;AVE;Tag - PosPago;Provincia;Tag;3
1/4/2024;0;Pesados 3 Ejes;AVE;Tag - PosPago OCR;Centro;Tag;2
1/4/2024;0;Pesados 3 Ejes;AVE;Tag - PosPago OCR;Provincia;Tag;2
1/4/2024;0;Pesados 3 Ejes;DEC;Efectivo;Centro;Efectivo;1
1/4/2024;0;Pesados 3 Ejes;DEC;Paso en Infracción;Centro;Rec.Deuda;1
1/4/2024;0;Pesados 3 Ejes;DEC;Tag - PosPago;Centro;Tag;2
1/4/2024;0;Pesados 3 Ejes;DEC;Tag - PosPago OCR;Centro;Tag;2
1/4/2024;0;Pesados 3 Ejes;DEL;Tag - PosPago;Provincia;Tag;2
1/4/2024;0;Pesados 3 Ejes;DEL;Tag - PosPago OCR;Provincia;Tag;1
1/4/2024;0;Pesados 3 Ejes;KDT;Mercado Pago;Centro;Mercado Pago;2
1/4/2024;0;Pesados 3 Ejes;KDT;Mercado Pago;Provincia;Mercado Pago;1
1/4/2024;0;Pesados 3 Ejes;KDT;Tag - PosPago;Centro;Tag;2
1/4/2024;0;Pesados 3 Ejes;KDT;Tag - PosPago;Provincia;Tag;3
1/4/2024;0;Pesados 3 Ejes;KDT;Tag - PosPago OCR;Centro;Tag;2
1/4/2024;0;Pesados 3 Ejes;KDT;Tag - PosPago OCR;Provincia;Tag;2
1/4/2024;0;Pesados 3 Ejes;KDT;Violación - Normal;Centro;Violación;1
1/4/2024;0;Pesados 3 Ejes;KDT;Violación - Normal;Provincia;Violación;2
1/4/2024;0;Pesados 3 Ejes;PB1;Mercado Pago;Provincia;Mercado Pago;2
1/4/2024;0;Pesados 3 Ejes;PB1;Tag - PosPago;Provincia;Tag;6
1/4/2024;0;Pesados 3 Ejes;PB1;Tag - PosPago OCR;Provincia;Tag;3
1/4/2024;0;Pesados 3 Ejes;PB1;Violación - Normal;Provincia;Violación;1
1/4/2024;0;Pesados 3 Ejes;PB2;Tag - PosPago;Centro;Tag;2
1/4/2024;0;Pesados 3 Ejes;PB2;Tag - PosPago OCR;Centro;Tag;1
1/4/2024;0;Pesados 3 Ejes;PB2;Violación - Normal;Centro;Violación;1
1/4/2024;0;Pesados 3 Ejes;PB3;Tag - PosPago;Provincia;Tag;3
1/4/2024;0;Pesados 3 Ejes;PB3;Tag - PosPago OCR;Provincia;Tag;1
1/4/2024;0;Pesados 3 Ejes;PB4;Mercado Pago;Centro;Mercado Pago;1
1/4/2024;0;Pesados 3 Ejes;PB4;Tag - PosPago;Centro;Tag;2
1/4/2024;0;Pesados 3 Ejes;PB4;Tag - PosPago OCR;Centro;Tag;1
1/4/2024;0;Pesados 4 Ejes;AVE;Paso en Infracción;Centro;Rec.Deuda;1
1/4/2024;0;Pesados 4 Ejes;AVE;Tag - PosPago;Centro;Tag;2
1/4/2024;0;Pesados 4 Ejes;AVE;Tag - PosPago;Provincia;Tag;3
1/4/2024;0;Pesados 4 Ejes;AVE;Tag - PosPago OCR;Centro;Tag;3
1/4/2024;0;Pesados 4 Ejes;AVE;Tag - PosPago OCR;Provincia;Tag;1
1/4/2024;0;Pesados 4 Ejes;DEC;Tag - PosPago;Centro;Tag;1
1/4/2024;0;Pesados 4 Ejes;DEC;Tag - PosPago OCR;Centro;Tag;1
1/4/2024;0;Pesados 4 Ejes;DEL;Tag - PosPago;Provincia;Tag;3
1/4/2024;0;Pesados 4 Ejes;DEL;Tag - PosPago OCR;Provincia;Tag;1
1/4/2024;0;Pesados 4 Ejes;KDT;Tag - PosPago;Centro;Tag;2
1/4/2024;0;Pesados 4 Ejes;PB1;Tag - PosPago;Provincia;Tag;3
1/4/2024;0;Pesados 4 Ejes;PB2;Tag - PosPago;Centro;Tag;3
1/4/2024;0;Pesados 4 Ejes;PB2;Tag - PosPago OCR;Centro;Tag;1
1/4/2024;0;Pesados 4 Ejes;PB4;Tag - PosPago;Centro;Tag;2
1/4/2024;0;Pesados 5 Ejes;AVE;Paso en Infracción;Centro;Rec.Deuda;1
1/4/2024;0;Pesados 5 Ejes;AVE;Tag - Exento;Centro;Tag;1
1/4/2024;0;Pesados 5 Ejes;AVE;Tag - Exento;Provincia;Tag;1
1/4/2024;0;Pesados 5 Ejes;AVE;Tag - PosPago;Centro;Tag;8
1/4/2024;0;Pesados 5 Ejes;AVE;Tag - PosPago;Provincia;Tag;6
1/4/2024;0;Pesados 5 Ejes;DEC;Tag - PosPago;Centro;Tag;4
1/4/2024;0;Pesados 5 Ejes;DEC;Tag - PosPago OCR;Centro;Tag;1
1/4/2024;0;Pesados 5 Ejes;DEL;Tag - PosPago;Provincia;Tag;5
1/4/2024;0;Pesados 5 Ejes;KDT;Mercado Pago;Centro;Mercado Pago;1
1/4/2024;0;Pesados 5 Ejes;KDT;Tag - PosPago;Centro;Tag;5
1/4/2024;0;Pesados 5 Ejes;KDT;Tag - PosPago;Provincia;Tag;1
1/4/2024;0;Pesados 5 Ejes;KDT;Tag - PosPago OCR;Provincia;Tag;1
1/4/2024;0;Pesados 5 Ejes;KDT;Violación - Normal;Centro;Violación;1
1/4/2024;0;Pesados 5 Ejes;KDT;Violación - Normal;Provincia;Violación;1
1/4/2024;0;Pesados 5 Ejes;PB1;Tag - PosPago;Provincia;Tag;2
1/4/2024;0;Pesados 5 Ejes;PB2;Tag - PosPago OCR;Centro;Tag;1
1/4/2024;0;Pesados 5 Ejes;PB4;Mercado Pago;Centro;Mercado Pago;1
1/4/2024;0;Pesados 5 Ejes;PB4;Tag - PosPago;Centro;Tag;4
1/4/2024;0;Pesados 6 Ejes;AVE;Tag - Exento;Provincia;Tag;1
1/4/2024;0;Pesados 6 Ejes;AVE;Tag - PosPago;Centro;Tag;4
1/4/2024;0;Pesados 6 Ejes;AVE;Tag - PosPago;Provincia;Tag;4
1/4/2024;0;Pesados 6 Ejes;AVE;Tag - PosPago OCR;Centro;Tag;1
1/4/2024;0;Pesados 6 Ejes;AVE;Tag - PosPago OCR;Provincia;Tag;3
1/4/2024;0;Pesados 6 Ejes;DEC;Tag - PosPago;Centro;Tag;3
1/4/2024;0;Pesados 6 Ejes;DEC;Tag - PosPago OCR;Centro;Tag;4
1/4/2024;0;Pesados 6 Ejes;DEL;Tag - PosPago;Provincia;Tag;2
1/4/2024;0;Pesados 6 Ejes;KDT;Tag - PosPago;Centro;Tag;2
1/4/2024;0;Pesados 6 Ejes;KDT;Tag - PosPago;Provincia;Tag;6
1/4/2024;0;Pesados 6 Ejes;KDT;Tag - PosPago OCR;Provincia;Tag;2
1/4/2024;0;Pesados 6 Ejes;PB1;Tag - PosPago;Provincia;Tag;4
1/4/2024;0;Pesados 6 Ejes;PB1;Tag - PosPago OCR;Provincia;Tag;2
1/4/2024;0;Pesados 6 Ejes;PB4;Tag - PosPago;Centro;Tag;3
1/4/2024;1;Auto;ALB;Mercado Pago;Centro;Mercado Pago;10
1/4/2024;1;Auto;ALB;Mercado Pago;Provincia;Mercado Pago;20
1/4/2024;1;Auto;ALB;Mercado Pago OCR;Centro;Mercado Pago;6
1/4/2024;1;Auto;ALB;Mercado Pago OCR;Provincia;Mercado Pago;12
1/4/2024;1;Auto;ALB;Tag - PosPago;Centro;Tag;43
1/4/2024;1;Auto;ALB;Tag - PosPago;Provincia;Tag;129
1/4/2024;1;Auto;ALB;Tag - PosPago OCR;Centro;Tag;17
1/4/2024;1;Auto;ALB;Tag - PosPago OCR;Provincia;Tag;44
1/4/2024;1;Auto;ALB;Violación - Normal;Centro;Violación;10
1/4/2024;1;Auto;ALB;Violación - Normal;Provincia;Violación;23
1/4/2024;1;Auto;AVE;Efectivo;Centro;Efectivo;96
1/4/2024;1;Auto;AVE;Efectivo;Provincia;Efectivo;160
1/4/2024;1;Auto;AVE;Exento - Otros motivos;Centro;Exento;34
1/4/2024;1;Auto;AVE;Exento - Otros motivos;Provincia;Exento;79
1/4/2024;1;Auto;AVE;Exento - Reglamento;Centro;Exento;3
1/4/2024;1;Auto;AVE;Exento - Reglamento;Provincia;Exento;2
1/4/2024;1;Auto;AVE;Mercado Pago;Centro;Mercado Pago;137
1/4/2024;1;Auto;AVE;Mercado Pago;Provincia;Mercado Pago;248
1/4/2024;1;Auto;AVE;Mercado Pago OCR;Centro;Mercado Pago;23
1/4/2024;1;Auto;AVE;Mercado Pago OCR;Provincia;Mercado Pago;22
1/4/2024;1;Auto;AVE;Paso en Infracción;Centro;Rec.Deuda;5
1/4/2024;1;Auto;AVE;Paso en Infracción;Provincia;Rec.Deuda;5
1/4/2024;1;Auto;AVE;Paso en infracción con Multa LPR;Centro;Rec.Deuda;3
1/4/2024;1;Auto;AVE;Paso en infracción con Multa LPR;Provincia;Rec.Deuda;1
1/4/2024;1;Auto;AVE;Tag - Exento;Centro;Tag;11
1/4/2024;1;Auto;AVE;Tag - PosPago;Centro;Tag;418
1/4/2024;1;Auto;AVE;Tag - PosPago;Provincia;Tag;826
1/4/2024;1;Auto;AVE;Tag - PosPago OCR;Centro;Tag;64
1/4/2024;1;Auto;AVE;Tag - PosPago OCR;Provincia;Tag;77
1/4/2024;1;Auto;AVE;Violación - Normal;Centro;Violación;5
1/4/2024;1;Auto;AVE;Violación - Normal;Provincia;Violación;9
1/4/2024;1;Auto;DEC;Efectivo;Centro;Efectivo;68
1/4/2024;1;Auto;DEC;Exento - Otros motivos;Centro;Exento;36
1/4/2024;1;Auto;DEC;Exento - Reglamento;Centro;Exento;1
1/4/2024;1;Auto;DEC;Mercado Pago;Centro;Mercado Pago;98
1/4/2024;1;Auto;DEC;Mercado Pago OCR;Centro;Mercado Pago;16
1/4/2024;1;Auto;DEC;Paso en Infracción;Centro;Rec.Deuda;6
1/4/2024;1;Auto;DEC;Tag - PosPago;Centro;Tag;258
1/4/2024;1;Auto;DEC;Tag - PosPago OCR;Centro;Tag;44
1/4/2024;1;Auto;DEC;Violación - Normal;Centro;Violación;4
1/4/2024;1;Auto;DEL;Efectivo;Provincia;Efectivo;140
1/4/2024;1;Auto;DEL;Exento - Otros motivos;Provincia;Exento;52
1/4/2024;1;Auto;DEL;Exento - Reglamento;Provincia;Exento;1
1/4/2024;1;Auto;DEL;Mercado Pago;Provincia;Mercado Pago;144
1/4/2024;1;Auto;DEL;Mercado Pago OCR;Provincia;Mercado Pago;48
1/4/2024;1;Auto;DEL;Paso en Infracción;Provincia;Rec.Deuda;4
1/4/2024;1;Auto;DEL;Tag - PosPago;Provincia;Tag;301
1/4/2024;1;Auto;DEL;Tag - PosPago OCR;Provincia;Tag;83
1/4/2024;1;Auto;DEL;Violación - Normal;Provincia;Violación;3
1/4/2024;1;Auto;KDT;Mercado Pago;Centro;Mercado Pago;142
1/4/2024;1;Auto;KDT;Mercado Pago;Provincia;Mercado Pago;172
1/4/2024;1;Auto;KDT;Mercado Pago OCR;Centro;Mercado Pago;22
1/4/2024;1;Auto;KDT;Mercado Pago OCR;Provincia;Mercado Pago;18
1/4/2024;1;Auto;KDT;Tag - PosPago;Centro;Tag;421
1/4/2024;1;Auto;KDT;Tag - PosPago;Provincia;Tag;763
1/4/2024;1;Auto;KDT;Tag - PosPago OCR;Centro;Tag;28
1/4/2024;1;Auto;KDT;Tag - PosPago OCR;Provincia;Tag;65
1/4/2024;1;Auto;KDT;Violación - Normal;Centro;Violación;97
1/4/2024;1;Auto;KDT;Violación - Normal;Provincia;Violación;122
1/4/2024;1;Auto;PB1;Mercado Pago;Provincia;Mercado Pago;26
1/4/2024;1;Auto;PB1;Mercado Pago OCR;Provincia;Mercado Pago;9
1/4/2024;1;Auto;PB1;Tag - PosPago;Provincia;Tag;212
1/4/2024;1;Auto;PB1;Tag - PosPago OCR;Provincia;Tag;47
1/4/2024;1;Auto;PB1;Violación - Normal;Provincia;Violación;26
1/4/2024;1;Auto;PB2;Mercado Pago;Centro;Mercado Pago;6
1/4/2024;1;Auto;PB2;Mercado Pago OCR;Centro;Mercado Pago;2
1/4/2024;1;Auto;PB2;Tag - PosPago;Centro;Tag;3
1/4/2024;1;Auto;PB2;Tag - PosPago OCR;Centro;Tag;7
1/4/2024;1;Auto;PB2;Violación - Normal;Centro;Violación;4
1/4/2024;1;Auto;PB3;Mercado Pago;Provincia;Mercado Pago;6
1/4/2024;1;Auto;PB3;Tag - PosPago;Provincia;Tag;16
1/4/2024;1;Auto;PB3;Tag - PosPago OCR;Provincia;Tag;4
1/4/2024;1;Auto;PB3;Violación - Normal;Provincia;Violación;2
1/4/2024;1;Auto;PB4;Mercado Pago;Centro;Mercado Pago;11
1/4/2024;1;Auto;PB4;Mercado Pago OCR;Centro;Mercado Pago;6
1/4/2024;1;Auto;PB4;Tag - PosPago;Centro;Tag;68
